arm,seed,best_step,val_macro_f1,test_f1_akiec,test_f1_bcc,test_f1_bkl,test_f1_df,test_f1_mel,test_f1_nv,test_f1_vasc,test_macro_f1,test_rare_f1,test_balanced_acc,test_auc_ovr
classical_aug,612,6000,0.6108072421224907,0.4897959183673469,0.6114649681528662,0.5621301775147929,0.46153846153846156,0.5271739130434783,0.883026381284221,0.8695652173913043,0.6292421481846387,0.606966532432371,0.6218803435525091,0.9349538063010112
classical_aug,613,6000,0.6406076966554295,0.48936170212765956,0.5960264900662252,0.5028571428571429,0.4166666666666667,0.5132275132275133,0.873,0.8444444444444444,0.6050834227699503,0.5834909377462569,0.5905070785072263,0.9255114865943016
classical_aug,614,3500,0.612743170978631,0.48148148148148145,0.6282051282051282,0.4885057471264368,0.3076923076923077,0.5010526315789474,0.8441835645677694,0.8,0.5787315515217244,0.529724596391263,0.620560179740577,0.9288450706488617
dup_real,612,750,0.41486272654787915,0.1927710843373494,0.45454545454545453,0.42105263157894735,0.08333333333333333,0.4311111111111111,0.8183221821924859,0.5581395348837209,0.4227536188546289,0.27808131751813453,0.4271618422424326,0.8789881211228436
dup_real,613,250,0.4425876646681757,0.17073170731707318,0.42105263157894735,0.38721804511278196,0.14814814814814814,0.40789473684210525,0.8133405056481979,0.5833333333333334,0.4188170154257982,0.3007377295995182,0.44067752771239566,0.8709589639330545
dup_real,614,500,0.42229240831813525,0.18840579710144928,0.4230769230769231,0.419672131147541,0.10256410256410256,0.38904109589041097,0.8390045708481463,0.5714285714285714,0.4190275988653064,0.2874661570313744,0.4692573611636323,0.8546291777775936
real_only,612,2250,0.4197650959598617,0.25225225225225223,0.43023255813953487,0.33707865168539325,0.14285714285714285,0.3952802359882006,0.8414985590778098,0.6511627906976745,0.43576602724257263,0.3487573952690232,0.42976977130837074,0.8578216722551801
real_only,613,750,0.44621587812525404,0.24096385542168675,0.4523809523809524,0.43478260869565216,0.0625,0.3854748603351955,0.8401191658391262,0.7619047619047619,0.45401802922533924,0.3551228724421495,0.44504852572120596,0.8614108230260296
real_only,614,3000,0.4325823955258591,0.2028985507246377,0.40559440559440557,0.35172413793103446,0.0,0.4024024024024024,0.8471575023299162,0.7692307692307693,0.42557253831616654,0.3240431066518023,0.39186706720552966,0.8649335330919499
synth_accepted,612,750,0.43865029832965835,0.19444444444444445,0.4375,0.39215686274509803,0.0,0.35942028985507246,0.8315585672797676,0.7142857142857143,0.4184808398014424,0.3029100529100529,0.41067982828209054,0.8561489185054256
synth_accepted,613,3000,0.4334271180598633,0.1,0.3776223776223776,0.43636363636363634,0.0,0.3626943005181347,0.8148864185596907,0.6111111111111112,0.38609683488213575,0.23703703703703705,0.361770141108504,0.8592434567578032
synth_accepted,614,3750,0.43890926184097945,0.06060606060606061,0.47953216374269003,0.41237113402061853,0.09523809523809523,0.37423312883435583,0.8483992467043314,0.8372093023255814,0.4439413044959619,0.3310178193899124,0.42576145385294056,0.8665471552762145
synth_all,612,5250,0.45909109604853493,0.17582417582417584,0.5217391304347826,0.3942652329749104,0.0,0.34812286689419797,0.8496066635816751,0.7368421052631579,0.4323428821389857,0.3042220936957779,0.40272237586164933,0.88314878197587
synth_all,613,2750,0.47402914165703136,0.15,0.45977011494252873,0.40372670807453415,0.08,0.4075067024128686,0.8419497784342689,0.5945945945945946,0.4196496997798279,0.2748648648648649,0.4033023195613665,0.8677292166050261
synth_all,614,2250,0.45376934918265327,0.21686746987951808,0.5058823529411764,0.40384615384615385,0.1,0.3978779840848806,0.8457760314341847,0.6363636363636364,0.44380194693565,0.31774370208105146,0.4349593623793803,0.8742919242035764
