run,class,n_synth,flagged_fraction,flagged_fraction_lesion,lpips_threshold,lpips_threshold_lesion,inception_threshold,inception_threshold_lesion
ddpm64,akiec,1000,0.501,0.791,0.033413,0.091607,0.049039,0.085676
ddpm64,bcc,1000,0.354,0.562,0.04558,0.089609,0.06189,0.091434
ddpm64,bkl,1000,0.041,0.25,0.048614,0.08485,0.067865,0.091571
ddpm64,df,1000,0.934,0.97,0.04175,0.079206,0.073973,0.109148
ddpm64,mel,1000,0.046,0.169,0.049334,0.081778,0.064895,0.092678
ddpm64,nv,1000,0.007,0.028,0.041614,0.048114,0.064626,0.078601
ddpm64,vasc,1000,0.898,0.923,0.053702,0.063612,0.077612,0.094505
ddpm64_g1,akiec,1000,0.215,0.45,0.033413,0.091607,0.049039,0.085676
ddpm64_g1,df,1000,0.74,0.839,0.04175,0.079206,0.073973,0.109148
ddpm64_g1,vasc,1000,0.743,0.798,0.053702,0.063612,0.077612,0.094505
ddpm64_s10000,akiec,1000,0.0,0.021,0.033413,0.091607,0.049039,0.085676
ddpm64_s10000,df,1000,0.04,0.178,0.04175,0.079206,0.073973,0.109148
ddpm64_s10000,vasc,1000,0.061,0.108,0.053702,0.063612,0.077612,0.094505
ddpm64_s20000,akiec,1000,0.014,0.114,0.033413,0.091607,0.049039,0.085676
ddpm64_s20000,df,1000,0.282,0.497,0.04175,0.079206,0.073973,0.109148
ddpm64_s20000,vasc,1000,0.29,0.378,0.053702,0.063612,0.077612,0.094505
ddpm64_s30000,akiec,1000,0.099,0.354,0.033413,0.091607,0.049039,0.085676
ddpm64_s30000,df,1000,0.582,0.765,0.04175,0.079206,0.073973,0.109148
ddpm64_s30000,vasc,1000,0.579,0.674,0.053702,0.063612,0.077612,0.094505
ddpm64_s50000,akiec,1000,0.258,0.595,0.033413,0.091607,0.049039,0.085676
ddpm64_s50000,df,1000,0.823,0.927,0.04175,0.079206,0.073973,0.109148
ddpm64_s50000,vasc,1000,0.796,0.855,0.053702,0.063612,0.077612,0.094505
ddpm64_s70000,akiec,1000,0.369,0.689,0.033413,0.091607,0.049039,0.085676
ddpm64_s70000,df,1000,0.886,0.952,0.04175,0.079206,0.073973,0.109148
ddpm64_s70000,vasc,1000,0.858,0.904,0.053702,0.063612,0.077612,0.094505
ddpm64_s90000,akiec,1000,0.45,0.763,0.033413,0.091607,0.049039,0.085676
ddpm64_s90000,df,1000,0.924,0.962,0.04175,0.079206,0.073973,0.109148
ddpm64_s90000,vasc,1000,0.884,0.919,0.053702,0.063612,0.077612,0.094505
