dx,source,ref
nv,real,ISIC_0024307
nv,real,ISIC_0024311
bkl,real,ISIC_0024312
mel,real,ISIC_0024313
nv,real,ISIC_0024314
mel,real,ISIC_0024315
nv,real,ISIC_0024316
nv,real,ISIC_0024317
df,real,ISIC_0024318
nv,real,ISIC_0024319
nv,real,ISIC_0024321
bkl,real,ISIC_0024324
nv,real,ISIC_0024325
nv,real,ISIC_0024326
nv,real,ISIC_0024327
akiec,real,ISIC_0024329
mel,real,ISIC_0024333
nv,real,ISIC_0024334
bkl,real,ISIC_0024336
bkl,real,ISIC_0024337
nv,real,ISIC_0024339
nv,real,ISIC_0024340
nv,real,ISIC_0024341
nv,real,ISIC_0024342
nv,real,ISIC_0024343
nv,real,ISIC_0024344
nv,real,ISIC_0024347
nv,real,ISIC_0024348
nv,real,ISIC_0024350
nv,real,ISIC_0024352
nv,real,ISIC_0024353
nv,real,ISIC_0024356
nv,real,ISIC_0024357
bkl,real,ISIC_0024358
nv,real,ISIC_0024359
nv,real,ISIC_0024361
nv,real,ISIC_0024364
mel,real,ISIC_0024367
nv,real,ISIC_0024368
nv,real,ISIC_0024369
bkl,real,ISIC_0024371
nv,real,ISIC_0024373
nv,real,ISIC_0024376
nv,real,ISIC_0024377
nv,real,ISIC_0024378
nv,real,ISIC_0024379
bkl,real,ISIC_0024381
bkl,real,ISIC_0024382
bkl,real,ISIC_0024383
nv,real,ISIC_0024384
df,real,ISIC_0024386
nv,real,ISIC_0024387
nv,real,ISIC_0024391
nv,real,ISIC_0024393
nv,real,ISIC_0024394
nv,real,ISIC_0024395
df,real,ISIC_0024396
nv,real,ISIC_0024397
nv,real,ISIC_0024399
mel,real,ISIC_0024400
nv,real,ISIC_0024401
vasc,real,ISIC_0024402
bcc,real,ISIC_0024403
nv,real,ISIC_0024404
nv,real,ISIC_0024405
nv,real,ISIC_0024407
mel,real,ISIC_0024410
bcc,real,ISIC_0024411
nv,real,ISIC_0024414
nv,real,ISIC_0024415
nv,real,ISIC_0024416
nv,real,ISIC_0024417
akiec,real,ISIC_0024418
nv,real,ISIC_0024419
nv,real,ISIC_0024421
bkl,real,ISIC_0024422
nv,real,ISIC_0024424
nv,real,ISIC_0024425
bkl,real,ISIC_0024426
nv,real,ISIC_0024427
nv,real,ISIC_0024428
nv,real,ISIC_0024429
nv,real,ISIC_0024430
bcc,real,ISIC_0024431
bcc,real,ISIC_0024432
nv,real,ISIC_0024433
nv,real,ISIC_0024434
nv,real,ISIC_0024437
nv,real,ISIC_0024438
nv,real,ISIC_0024440
nv,real,ISIC_0024441
nv,real,ISIC_0024442
nv,real,ISIC_0024444
bkl,real,ISIC_0024446
nv,real,ISIC_0024447
mel,real,ISIC_0024449
akiec,real,ISIC_0024450
nv,real,ISIC_0024451
bkl,real,ISIC_0024453
bcc,real,ISIC_0024454
nv,real,ISIC_0024455
nv,real,ISIC_0024456
bcc,real,ISIC_0024457
nv,real,ISIC_0024458
nv,real,ISIC_0024460
bcc,real,ISIC_0024461
nv,real,ISIC_0024462
nv,real,ISIC_0024464
nv,real,ISIC_0024466
nv,real,ISIC_0024467
akiec,real,ISIC_0024468
nv,real,ISIC_0024469
akiec,real,ISIC_0024470
bkl,real,ISIC_0024471
nv,real,ISIC_0024473
nv,real,ISIC_0024474
bkl,real,ISIC_0024477
nv,real,ISIC_0024478
nv,real,ISIC_0024479
mel,real,ISIC_0024481
mel,real,ISIC_0024482
nv,real,ISIC_0024485
nv,real,ISIC_0024486
nv,real,ISIC_0024487
nv,real,ISIC_0024488
bkl,real,ISIC_0024489
